step_id,timestamp_ns,fidelity,entropy,logical_error_rate,injection_magnitude,injection_approved,correction_applied,noise_level,backend,threshold_current,bloch_x,bloch_y,bloch_z,lyapunov_estimate
0,964852,0.99538979,0.02939708,0.00000000,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08),0.850000,0.990780,0.000000,0.001500,0.00000000
1,413708,0.99009399,0.05555694,0.00533452,0.00000000,0,0,0.005800,HostileBackend(fatigue=0.08),0.850000,0.980188,0.000000,0.003229,0.00000000
2,239194,0.98413524,0.08144772,0.00568554,0.00000000,0,0,0.006600,HostileBackend(fatigue=0.08),0.849960,0.968270,0.000000,0.005181,0.00000000
3,326971,0.97753888,0.10741532,0.00603211,0.00000000,0,0,0.007400,HostileBackend(fatigue=0.08),0.849960,0.955078,0.000000,0.007351,0.00000000
4,322929,0.97033261,0.13349628,0.00637387,0.00000000,0,0,0.008200,HostileBackend(fatigue=0.08),0.849960,0.940665,0.000000,0.009733,0.00000000
5,330269,0.96254661,0.15963152,0.00671038,0.00000000,0,0,0.009000,HostileBackend(fatigue=0.08),0.849960,0.925093,0.000001,0.012319,0.00000000
6,349280,0.95421316,0.18572716,0.00704122,0.00000000,0,0,0.009800,HostileBackend(fatigue=0.08),0.849960,0.908426,0.000001,0.015103,0.00000000
7,293298,0.94536648,0.21167723,0.00736596,0.00000000,0,0,0.010600,HostileBackend(fatigue=0.08),0.849960,0.890733,0.000001,0.018075,0.00000000
8,290034,0.93604226,0.23737456,0.00768422,0.00000000,0,0,0.011400,HostileBackend(fatigue=0.08),0.849960,0.872085,0.000000,0.021228,0.00000000
9,277199,0.92627776,0.26271504,0.00799558,0.00000000,0,0,0.012200,HostileBackend(fatigue=0.08),0.849960,0.852556,0.000000,0.024551,0.00000000
10,255033,0.91611079,0.28760214,0.00829971,0.00000000,0,0,0.013000,HostileBackend(fatigue=0.08),0.849960,0.832222,0.000000,0.028038,0.00000000
11,204355,0.90558141,0.31194388,0.00859611,0.00000000,0,0,0.013800,HostileBackend(fatigue=0.08),0.849960,0.811163,-0.000001,0.031677,0.00000000
12,261152,0.89472920,0.33565970,0.00888444,0.00000000,0,0,0.014600,HostileBackend(fatigue=0.08),0.849960,0.789458,-0.000002,0.035458,0.00000000
13,224126,0.88359398,0.35867820,0.00916437,0.00000000,0,0,0.015400,HostileBackend(fatigue=0.08),0.849960,0.767188,-0.000000,0.039370,0.00000000
14,377670,0.87221647,0.38093554,0.00943548,0.00000000,0,0,0.016200,HostileBackend(fatigue=0.08),0.849960,0.744433,0.000001,0.043404,0.00000000
15,332212,0.86063742,0.40237711,0.00969741,0.00000000,0,1,0.017000,HostileBackend(fatigue=0.08),0.849960,0.721275,0.000002,0.047547,0.00000000
16,423528,0.84889663,0.42295821,0.00994981,0.00000000,0,0,0.017800,HostileBackend(fatigue=0.08),0.849960,0.697793,0.000001,0.051792,0.00000000
17,296114,0.83703392,0.44264255,0.01019234,0.00000000,0,0,0.018600,HostileBackend(fatigue=0.08),0.849960,0.674068,-0.000000,0.056122,0.00000000
18,372525,0.82508732,0.46140333,0.01042473,0.00000000,0,0,0.019400,HostileBackend(fatigue=0.08),0.849960,0.650175,-0.000001,0.060533,0.00000000
19,309596,0.81309505,0.47922064,0.01064665,0.00000000,0,0,0.020200,HostileBackend(fatigue=0.08),0.849960,0.626190,-0.000002,0.065007,0.00000000
20,397377,0.80109558,0.49607958,0.01114840,0.13935287,1,0,0.021000,HostileBackend(fatigue=0.08),0.849960,0.602191,-0.000000,0.069541,0.00000000
21,353973,0.80010096,0.49740933,0.01089607,0.13325629,1,0,0.021800,HostileBackend(fatigue=0.08),0.849960,0.600202,-0.000000,0.070234,0.00000000
22,315660,0.79897675,0.49890879,0.01061612,0.12783590,1,0,0.022600,HostileBackend(fatigue=0.08),0.849960,0.597954,-0.000001,0.070963,0.00000000
23,277976,0.79777233,0.50050878,0.01030609,0.12296704,1,0,0.023400,HostileBackend(fatigue=0.08),0.849960,0.595545,-0.000001,0.071711,0.00000000
24,364113,0.79651687,0.50216869,0.00996496,0.11855905,1,0,0.024200,HostileBackend(fatigue=0.08),0.849960,0.593034,-0.000000,0.072463,0.00000000
25,272688,0.79523415,0.50385572,0.00959213,0.11453813,1,0,0.025000,HostileBackend(fatigue=0.08),0.849960,0.590468,-0.000001,0.073212,0.00000000
26,365557,0.79394084,0.50554693,0.00918756,0.11084653,1,0,0.025800,HostileBackend(fatigue=0.08),0.849960,0.587882,-0.000001,0.073955,0.00000000
27,326523,0.79264598,0.50723034,0.00875179,0.10744014,1,0,0.026600,HostileBackend(fatigue=0.08),0.849960,0.585292,-0.000001,0.074689,0.00000000
28,317378,0.79135766,0.50889596,0.00828548,0.10428046,1,0,0.027400,HostileBackend(fatigue=0.08),0.849960,0.582715,-0.000003,0.075404,0.00000000
29,215535,0.79007915,0.51053879,0.00778969,0.10134024,1,0,0.028200,HostileBackend(fatigue=0.08),0.849960,0.580158,-0.000004,0.076110,-0.03539175
30,232020,0.78881329,0.51215599,0.00726566,0.09271051,1,0,0.029000,HostileBackend(fatigue=0.08),0.849960,0.577627,-0.000004,0.076800,-0.04075275
