step_id,timestamp_ns,fidelity,entropy,logical_error_rate,injection_magnitude,injection_approved,correction_applied,noise_level,backend
0,148800,0.99576160,0.02738618,0.00000000,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
1,68800,0.99155923,0.04870702,0.00422919,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
2,50500,0.98739253,0.06766602,0.00422011,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
3,47000,0.98326121,0.08505998,0.00421102,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
4,44300,0.97916479,0.10127202,0.00420198,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
5,121900,0.97510307,0.11652905,0.00419294,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
6,53300,0.97107579,0.13098251,0.00418389,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
7,41200,0.96708275,0.14474097,0.00417483,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
8,42200,0.96312359,0.15788687,0.00416577,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
9,38300,0.95919807,0.17048440,0.00415670,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
10,38700,0.95530558,0.18258648,0.00414766,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
11,36200,0.95144632,0.19423442,0.00413860,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
12,34300,0.94761985,0.20546470,0.00412954,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
13,35000,0.94382564,0.21630874,0.00412049,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
14,44200,0.94006354,0.22679266,0.00411146,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
15,37000,0.93633339,0.23693935,0.00410242,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
16,33400,0.93263490,0.24676932,0.00409338,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
17,34500,0.92896772,0.25630099,0.00408435,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
18,33300,0.92533158,0.26555063,0.00407532,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
19,32800,0.92172622,0.27453296,0.00406630,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
20,32500,0.91815186,0.28326013,0.00404820,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
21,34900,0.91460731,0.29174654,0.00403015,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
22,32900,0.91109274,0.30000230,0.00401211,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
23,32200,0.90760845,0.30803636,0.00399405,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
24,33500,0.90415356,0.31585961,0.00397600,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
25,32900,0.90072788,0.32348071,0.00395796,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
26,34800,0.89733144,0.33090715,0.00393994,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
27,45500,0.89396366,0.33814726,0.00392193,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
28,36000,0.89062441,0.34520787,0.00390394,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
29,33600,0.88731341,0.35209571,0.00388595,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)
