step_id,timestamp_ns,fidelity,entropy,logical_error_rate,injection_magnitude,injection_approved,correction_applied,noise_level,backend
0,92300,0.99660743,0.02267754,0.00000000,0.00000000,0,0,0.004000,HostileBackend(fatigue=0.08)_control
1,65400,0.99323794,0.04052530,0.00338669,0.00000000,0,0,0.004000,HostileBackend(fatigue=0.08)_control
2,54300,0.98989134,0.05650026,0.00338088,0.00000000,0,0,0.004000,HostileBackend(fatigue=0.08)_control
3,42500,0.98656749,0.07123703,0.00337507,0.00000000,0,0,0.004000,HostileBackend(fatigue=0.08)_control
4,37900,0.98326612,0.08504001,0.00336928,0.00000000,0,0,0.004000,HostileBackend(fatigue=0.08)_control
5,92400,0.97998712,0.09808923,0.00336350,0.00000000,0,0,0.004000,HostileBackend(fatigue=0.08)_control
6,52300,0.97673039,0.11050462,0.00335771,0.00000000,0,0,0.004000,HostileBackend(fatigue=0.08)_control
7,46800,0.97349582,0.12237199,0.00335192,0.00000000,0,0,0.004000,HostileBackend(fatigue=0.08)_control
8,40300,0.97028321,0.13375631,0.00334612,0.00000000,0,0,0.004000,HostileBackend(fatigue=0.08)_control
9,35300,0.96709246,0.14470816,0.00334032,0.00000000,0,0,0.004000,HostileBackend(fatigue=0.08)_control
