step_id,timestamp_ns,fidelity,entropy,logical_error_rate,injection_magnitude,injection_approved,correction_applied,noise_level,backend,threshold_current,bloch_x,bloch_y,bloch_z,lyapunov_estimate
0,356714,0.99538979,0.02939708,0.00000000,0.00000000,0,0,0.005000,HostileBackend(fatigue=0.08)_control,0.850000,0.990780,0.000000,0.001500,0.00000000
1,312213,0.99009399,0.05555694,0.00533452,0.00000000,0,0,0.005800,HostileBackend(fatigue=0.08)_control,0.850000,0.980188,0.000000,0.003229,0.00000000
2,237319,0.98413524,0.08144772,0.00568554,0.00000000,0,0,0.006600,HostileBackend(fatigue=0.08)_control,0.850000,0.968270,0.000000,0.005181,0.00000000
3,207797,0.97753888,0.10741532,0.00603211,0.00000000,0,0,0.007400,HostileBackend(fatigue=0.08)_control,0.850000,0.955078,0.000000,0.007351,0.00000000
4,272280,0.97033261,0.13349628,0.00637387,0.00000000,0,0,0.008200,HostileBackend(fatigue=0.08)_control,0.850000,0.940665,0.000000,0.009733,0.00000000
5,223394,0.96254661,0.15963152,0.00671038,0.00000000,0,0,0.009000,HostileBackend(fatigue=0.08)_control,0.850000,0.925093,0.000001,0.012319,0.00000000
6,284284,0.95421316,0.18572716,0.00704122,0.00000000,0,0,0.009800,HostileBackend(fatigue=0.08)_control,0.850000,0.908426,0.000001,0.015103,0.00000000
7,201695,0.94536648,0.21167723,0.00736596,0.00000000,0,0,0.010600,HostileBackend(fatigue=0.08)_control,0.850000,0.890733,0.000001,0.018075,0.00000000
8,186554,0.93604226,0.23737456,0.00768422,0.00000000,0,0,0.011400,HostileBackend(fatigue=0.08)_control,0.850000,0.872085,0.000000,0.021228,0.00000000
9,317381,0.92627776,0.26271504,0.00799558,0.00000000,0,0,0.012200,HostileBackend(fatigue=0.08)_control,0.850000,0.852556,0.000000,0.024551,0.00000000
10,252089,0.91611079,0.28760214,0.00829971,0.00000000,0,0,0.013000,HostileBackend(fatigue=0.08)_control,0.850000,0.832222,0.000000,0.028038,0.00000000
11,193545,0.90558141,0.31194388,0.00859611,0.00000000,0,0,0.013800,HostileBackend(fatigue=0.08)_control,0.850000,0.811163,-0.000001,0.031677,0.00000000
12,207003,0.89472920,0.33565970,0.00888444,0.00000000,0,0,0.014600,HostileBackend(fatigue=0.08)_control,0.850000,0.789458,-0.000002,0.035458,0.00000000
13,202658,0.88359398,0.35867820,0.00916437,0.00000000,0,0,0.015400,HostileBackend(fatigue=0.08)_control,0.850000,0.767188,-0.000000,0.039370,0.00000000
14,182588,0.87221647,0.38093554,0.00943548,0.00000000,0,0,0.016200,HostileBackend(fatigue=0.08)_control,0.850000,0.744433,0.000001,0.043404,0.00000000
15,263586,0.86063742,0.40237711,0.00969741,0.00000000,0,0,0.017000,HostileBackend(fatigue=0.08)_control,0.850000,0.721275,0.000002,0.047547,0.00000000
16,196657,0.84889663,0.42295821,0.00994981,0.00000000,0,0,0.017800,HostileBackend(fatigue=0.08)_control,0.850000,0.697793,0.000001,0.051792,0.00000000
17,245699,0.83703392,0.44264255,0.01019234,0.00000000,0,0,0.018600,HostileBackend(fatigue=0.08)_control,0.850000,0.674068,-0.000000,0.056122,0.00000000
18,192422,0.82508732,0.46140333,0.01042473,0.00000000,0,0,0.019400,HostileBackend(fatigue=0.08)_control,0.850000,0.650175,-0.000001,0.060533,0.00000000
19,181966,0.81309505,0.47922064,0.01064665,0.00000000,0,0,0.020200,HostileBackend(fatigue=0.08)_control,0.850000,0.626190,-0.000002,0.065007,0.00000000
20,223654,0.80109558,0.49607958,0.01114840,0.00000000,0,0,0.021000,HostileBackend(fatigue=0.08)_control,0.850000,0.602191,-0.000000,0.069541,0.00000000
21,187807,0.78912066,0.51198097,0.01162337,0.00000000,0,0,0.021800,HostileBackend(fatigue=0.08)_control,0.850000,0.578241,-0.000000,0.074119,0.00000000
